Chc	Transport(1.0),Signaling(0.931742639856)
Rpn10	Proteolysis(0.627353609825),Metabolism(0.451945131266)
Mmp2	Signaling(0.891814643773),Proteolysis(0.552601068155),Metabolism(0.304706489263)
bin3	Protein synthesis(0.679160393323),Metabolism(0.503350956016)
CkIIbeta	Metabolism(0.42570796833)
CLIP-190	-
vnc	-
betaTub56D	Metabolism(0.576159105324)
Syx1A	Transport(0.647114567259)
Aos1	Proteolysis(1.0),Protein synthesis(0.931741995369),Metabolism(0.823557283629),Cell cycle(0.534472588315)
Mef2	Protein synthesis(1.0),Metabolism(0.431048258618)
Hsf	Protein synthesis(0.53984526001),Metabolism(0.506392443326)
Rtc1	Metabolism(0.467090563312)
pnut	Cytoskeleton(0.863485279712),Metabolism(0.576159105324)
defl	Metabolism(0.823557283629)
CalpA	Metabolism(1.0),Protein synthesis(0.931742639856),Transport(0.695610969969),Cytoskeleton(0.562511894568),Proteolysis(0.552601068155)
NELF-B	Protein synthesis(1.0),Metabolism(0.388360411443)
Jra	Signaling(0.726970559424),Transport(0.695610969969),Protein synthesis(0.53984526001),Metabolism(0.424753074522)
cpo	-
Ald	Cell cycle(1.0),Metabolism(0.795227919568)
eIF3-S9	Metabolism(0.644416465469)
Pgk	Metabolism(0.795227919568)
Pgi	Metabolism(0.795227919568)
Ssrp	-
Hsromega	Signaling(1.0),Proteolysis(0.625140605346),Metabolism(0.461535210976),Protein synthesis(0.346081406581)
skpA	Cell cycle(1.0),Signaling(0.931742639856),Protein synthesis(0.891814643773),Metabolism(0.863485279712),Cytoskeleton(0.823557283629),Proteolysis(0.620858428299)
mrj	Protein folding(0.733325961572)
alph	Signaling(1.0),Metabolism(0.715371927403),Cell cycle(0.527736660226)
